latitude,longitude,acq_date
-19.26419,34.82004,2024-09-30
-16.84281,36.66646,2024-10-01
-15.90434,125.38059,2024-10-03
-16.02265,16.78072,2024-09-30
-15.6016,-62.34788,2024-10-01
-14.94108,-62.41792,2024-10-02
-11.23985,24.80213,2024-10-02
-14.48599,-63.71868,2024-09-30
-15.97678,37.6875,2024-10-01
-14.89709,17.69783,2024-10-01
39.4691,118.25512,2024-10-02
-7.32665,38.61531,2024-10-02
-14.0702,-63.95687,2024-10-01
-16.44528,30.2123,2024-10-02
-12.34258,34.7602,2024-09-30
3.93691,-71.65028,2024-10-01
-14.94208,38.44941,2024-09-30
35.46127,43.71393,2024-10-03
-17.29095,21.07314,2024-10-01
-13.51702,-64.14928,2024-10-01
-19.79058,44.69434,2024-10-02
-22.90126,-45.09602,2024-10-02
-11.49871,142.32544,2024-10-02
-14.52545,15.0871,2024-10-01
-8.40063,37.86525,2024-09-30
-20.09684,-42.24522,2024-09-30
44.89798,-107.51937,2024-09-30
-16.07935,24.65311,2024-09-30
-28.34826,29.12916,2024-10-02
-17.10702,-56.24837,2024-10-01
-13.00182,39.84472,2024-10-02
-14.35468,-62.88586,2024-10-02
-16.61555,-57.34511,2024-10-01
-7.2645,-44.22734,2024-10-01
-16.61901,-61.6147,2024-10-02
-11.318,14.44305,2024-10-02
-17.09322,-60.22716,2024-10-02
-15.19059,-63.24435,2024-10-01
-13.61274,37.31955,2024-09-30
-14.47984,-63.7506,2024-10-03
-15.98398,36.60564,2024-09-30
-15.49074,22.97142,2024-10-01
-20.25379,44.462,2024-10-02
-29.02791,-59.36959,2024-10-02
-14.95652,-62.69766,2024-10-01
19.00682,-104.25712,2024-10-01
-14.90486,-63.50068,2024-09-30
-16.53206,16.15736,2024-10-01
-15.80168,37.79583,2024-09-30
-15.83284,-62.99619,2024-10-02
-18.05182,46.34164,2024-09-30
-16.76185,-63.71821,2024-09-30
50.35671,37.117,2024-10-02
-12.78395,35.94444,2024-09-30
-7.94189,138.02879,2024-10-01
-18.21761,45.4457,2024-10-02
30.55919,47.3273,2024-10-03
-17.52011,37.17294,2024-09-30
40.4871,-111.07685,2024-09-30
-19.71123,33.26166,2024-09-30
-16.4341,135.83609,2024-09-30
-13.29591,-43.32729,2024-09-30
-12.97435,36.01934,2024-10-01
24.25304,113.40533,2024-09-30
32.88437,131.08437,2024-09-30
-16.51776,20.90596,2024-09-30
-11.29547,-46.85523,2024-10-01
-2.9229,-43.83007,2024-10-02
-11.92798,-65.86303,2024-10-02
-12.79457,31.32399,2024-09-30
-23.86354,-56.81453,2024-10-02
-16.19617,38.06227,2024-10-01
-17.09468,-56.71511,2024-10-02
-14.72185,-62.20781,2024-10-01
50.19485,36.37588,2024-10-02
-9.96605,-64.77962,2024-10-01
45.11013,-73.01193,2024-09-30
-17.61475,-59.78707,2024-10-01
-10.59552,35.39958,2024-10-01
-8.04678,16.77309,2024-09-30
-12.69996,-54.09628,2024-10-02
-8.52179,36.67253,2024-10-02
-19.44673,33.08078,2024-09-30
53.51971,115.56541,2024-10-01
-14.59726,-62.37212,2024-10-01
-15.90352,38.58686,2024-10-01
-17.29844,35.96972,2024-09-30
-10.83508,30.64819,2024-09-30
44.93774,-107.55793,2024-10-02
-17.44456,36.56932,2024-10-01
-16.65976,-57.24309,2024-10-01
-11.18243,-45.74687,2024-09-30
-10.96252,-47.2864,2024-10-02
-16.95508,-57.94324,2024-09-30
-29.35664,-60.54909,2024-10-01
-11.46041,132.92505,2024-09-30
-8.84467,140.94627,2024-10-03
-15.18853,-62.10687,2024-10-03
-14.02754,36.01766,2024-10-02
-14.9078,-62.89418,2024-10-01
-10.69257,-58.53952,2024-10-03
-15.33864,-61.31199,2024-10-02
-20.60293,-46.24035,2024-09-30
-14.68141,-61.61487,2024-10-01
-21.49186,-48.44976,2024-10-02
49.02805,68.62246,2024-10-02
-16.63338,39.01127,2024-09-30
31.09141,31.57333,2024-10-03
46.0443,-73.14006,2024-10-01
-15.75259,136.19392,2024-09-30
-10.92792,35.79996,2024-10-02
-22.66867,-43.69733,2024-10-02
-8.75826,142.42607,2024-09-30
65.09177,78.25822,2024-09-30
-16.65533,-55.93032,2024-10-01
-14.32565,-62.9416,2024-10-02
29.26892,6.49302,2024-10-02
-16.62584,-61.63922,2024-10-01
-10.39733,-68.72646,2024-10-02
-18.24321,48.08379,2024-10-02
-14.21346,-63.1032,2024-10-01
25.76606,68.94029,2024-09-30
53.43314,115.47275,2024-10-01
45.25439,-114.4285,2024-09-30
-12.41982,35.67625,2024-10-01
-16.43866,-57.42872,2024-10-01
-16.43514,-64.47912,2024-10-02
-17.66355,36.50538,2024-09-30
-12.93199,-63.91101,2024-10-02
-19.56717,-44.88421,2024-10-02
-16.84239,-55.90871,2024-10-02
-17.27847,37.83107,2024-09-30
-13.18652,-65.92422,2024-10-02
51.84695,36.64312,2024-10-01
-10.35266,33.27293,2024-09-30
-11.25144,-50.02852,2024-10-01
-17.1631,-56.16764,2024-10-01
-16.47234,39.46799,2024-10-01
-11.29053,-46.8747,2024-10-01
-11.2756,-69.46453,2024-10-02
-15.19983,-43.85231,2024-10-01
40.63413,109.73631,2024-09-30
-16.89181,38.86923,2024-09-30
-12.72001,-65.77721,2024-10-02
53.69152,116.47182,2024-10-03
-14.70056,-62.47042,2024-10-02
-14.70613,-65.6954,2024-10-02
-11.13145,35.34895,2024-09-30
-1.81686,136.74765,2024-10-01
-15.5915,129.06082,2024-09-30
-16.52424,37.39931,2024-09-30
-25.63455,-57.95665,2024-10-01
-11.96617,36.70522,2024-10-01
-12.40579,135.45305,2024-10-01
-6.73002,-76.53909,2024-10-02
-15.83806,-63.78658,2024-10-01
-11.43687,23.11762,2024-09-30
44.81396,-107.35764,2024-10-02
-17.05451,23.81317,2024-10-01
-14.55686,-63.02496,2024-10-01
-9.68019,-64.7255,2024-10-02
-8.07784,-42.88094,2024-09-30
-11.53161,142.39493,2024-09-30
-15.02247,19.63325,2024-10-01
