latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR,wild_fire_occurred
-7.31785,-43.32644,20240520,29.42,37.05,23.35,47.06,3.54,97.83,15.96,0.38,11.47,8.75,11.66,4.46,7.3,0.07,0.41,2.45,0.0,0.16,1
-11.14331,-45.73575,20240518,25.98,34.26,18.74,45.69,1.81,94.08,15.98,0.38,9.46,8.33,9.77,3.18,4.95,0.07,0.45,2.02,0.0,0.0,1
-11.14331,-45.73575,20240519,26.89,34.54,20.35,52.69,3.0,94.04,15.97,0.38,11.78,8.3,12.02,3.41,5.25,0.07,0.45,2.34,0.0,1.71,1
-11.14331,-45.73575,20240520,27.08,34.24,21.57,52.44,2.08,94.04,15.96,0.38,11.72,8.28,11.9,3.72,5.24,0.07,0.45,2.3,0.0,0.07,1
5.78444,5.42576,20240518,27.52,31.24,25.05,91.38,5.42,100.62,17.31,0.79,20.57,10.05,20.94,2.11,3.07,1.08,0.89,1.38,0.0,10.28,1
5.78444,5.42576,20240519,27.34,30.07,25.51,93.56,5.23,100.56,17.3,0.8,21.06,10.04,21.3,1.87,3.05,1.08,0.89,1.27,0.0,10.35,1
5.78444,5.42576,20240520,27.82,31.47,25.04,89.5,5.48,100.63,17.29,0.8,20.39,10.03,20.81,1.7,2.39,1.08,0.89,1.28,0.0,9.04,1
38.06323,22.57018,20240518,21.62,29.1,16.65,56.56,2.61,94.73,19.97,0.43,8.91,11.15,9.34,1.33,3.29,0.06,0.43,0.48,0.0,0.04,1
38.06323,22.57018,20240519,22.38,30.13,15.11,58.75,2.39,94.42,19.96,0.43,9.46,11.18,9.77,1.66,2.88,0.06,0.43,0.49,0.0,0.0,1
38.06323,22.57018,20240520,23.17,31.17,16.23,57.56,2.56,94.45,19.95,0.42,9.77,11.21,10.07,1.45,3.06,0.06,0.42,0.12,0.0,0.0,1
-13.17745,-67.50481,20240518,25.41,29.71,22.1,88.19,4.18,99.24,14.65,0.67,17.7,8.08,18.01,1.0,1.5,3.31,0.7,0.48,0.0,0.03,1
-13.17745,-67.50481,20240519,25.34,29.2,21.89,86.75,4.25,99.32,14.64,0.66,17.4,8.05,17.7,1.17,1.75,3.31,0.7,0.65,0.0,0.06,1
-13.17745,-67.50481,20240520,23.66,26.8,21.3,81.19,3.6,99.37,14.63,0.66,14.59,8.03,14.95,1.0,1.91,3.31,0.7,0.16,0.0,0.0,1
-9.90285,-52.20932,20240518,24.76,31.12,20.19,76.44,2.35,97.85,15.98,0.67,14.1,8.57,14.77,0.95,1.59,4.52,0.7,0.3,0.0,2.09,1
-9.90285,-52.20932,20240519,25.35,32.21,19.11,75.62,2.09,97.86,15.97,0.67,14.83,8.54,15.08,0.79,1.04,4.52,0.69,0.34,0.0,0.11,1
-9.90285,-52.20932,20240520,26.12,32.69,19.87,73.0,2.51,97.8,15.96,0.66,14.71,8.52,15.14,0.84,1.21,4.52,0.68,0.59,0.0,0.02,1
-13.43713,-44.02797,20240518,27.3,35.43,19.28,47.44,1.95,95.59,15.98,0.59,10.5,8.08,10.5,2.97,4.3,0.07,0.61,2.05,0.0,0.04,1
-13.43713,-44.02797,20240519,27.18,33.57,22.11,54.44,2.41,95.56,15.97,0.59,12.15,8.06,12.21,3.53,4.69,0.07,0.61,2.32,0.0,0.13,1
-13.43713,-44.02797,20240520,27.25,35.55,19.98,39.56,1.48,95.56,15.96,0.59,8.79,8.03,8.85,3.79,5.55,0.07,0.61,2.1,0.0,0.0,1
-8.07009,-45.47565,20240518,29.96,37.38,23.63,41.31,3.09,96.92,15.98,0.34,10.62,8.68,10.8,3.95,7.37,0.07,0.44,2.09,0.0,0.0,1
-8.07009,-45.47565,20240519,30.19,37.68,23.33,44.44,3.84,96.89,15.97,0.34,11.72,8.66,11.9,3.66,6.7,0.07,0.44,2.2,0.0,0.26,1
-8.07009,-45.47565,20240520,29.62,36.85,23.04,51.62,2.98,96.91,15.96,0.34,12.82,8.64,13.0,4.05,6.95,0.07,0.44,2.27,0.0,0.87,1
51.61058,40.81489,20240518,13.03,17.83,8.78,81.06,1.8,99.97,21.3,0.7,7.14,10.79,7.45,3.11,5.11,0.06,0.69,1.34,0.0,1.19,1
51.61058,40.81489,20240519,13.51,18.85,6.08,73.5,1.48,100.09,21.29,0.69,6.41,10.84,6.96,2.45,3.39,0.06,0.68,1.26,0.0,0.03,1
51.61058,40.81489,20240520,16.51,22.08,9.68,67.56,1.59,100.13,21.28,0.68,7.08,10.88,7.75,1.97,2.72,0.07,0.68,1.18,0.0,0.01,1
28.56086,7.46326,20240518,34.51,42.69,25.87,20.25,2.28,96.1,17.31,0.29,6.65,11.15,6.71,4.41,5.52,0.01,0.29,2.4,0.0,0.0,1
28.56086,7.46326,20240519,34.96,42.43,28.33,15.38,2.34,96.02,18.63,0.29,4.94,11.16,5.0,3.88,5.91,0.01,0.29,2.64,0.0,0.0,1
28.56086,7.46326,20240520,32.83,38.99,26.27,20.12,2.09,96.15,18.62,0.29,6.1,11.17,6.1,5.98,9.06,0.01,0.29,2.99,0.0,0.1,1
-14.85725,-61.84981,20240518,27.64,34.37,21.93,58.44,3.62,98.33,15.98,0.46,13.0,7.96,13.31,0.68,1.48,4.54,0.49,0.1,0.0,0.0,1
-14.85725,-61.84981,20240519,25.97,30.95,22.48,59.31,2.76,98.54,15.97,0.46,12.39,7.93,12.39,1.27,1.75,4.54,0.49,0.83,0.0,0.0,1
-14.85725,-61.84981,20240520,24.94,31.98,19.23,55.81,2.7,98.42,15.96,0.45,10.74,7.9,10.99,0.99,1.55,4.54,0.49,0.36,0.0,0.0,1
-11.04349,-52.46184,20240518,23.79,29.94,18.16,80.0,1.85,97.7,14.65,0.52,14.34,8.33,14.95,0.85,1.38,4.55,0.59,0.25,0.0,1.48,1
-11.04349,-52.46184,20240519,24.4,29.88,19.51,84.12,1.67,97.71,14.64,0.52,16.17,8.3,16.42,0.8,1.16,4.55,0.58,0.45,0.0,0.01,1
-11.04349,-52.46184,20240520,24.54,30.23,19.02,80.06,1.73,97.65,14.63,0.52,15.26,8.28,15.62,0.73,1.05,4.55,0.57,0.2,0.0,0.02,1
-7.24731,-44.93822,20240518,29.97,37.4,23.02,43.19,3.68,97.63,15.98,0.36,11.17,8.8,11.29,3.84,7.7,0.08,0.44,2.3,0.0,0.0,1
-7.24731,-44.93822,20240519,30.48,37.51,24.01,47.0,3.95,97.59,15.97,0.36,12.63,8.77,12.76,3.75,6.13,0.08,0.44,1.91,0.0,0.67,1
-7.24731,-44.93822,20240520,29.43,36.66,23.04,53.75,3.22,97.63,15.96,0.36,13.12,8.75,13.37,3.96,6.59,0.08,0.44,2.27,0.0,1.65,1
-8.42329,-46.34528,20240518,29.19,36.35,22.8,44.25,2.77,96.21,15.98,0.39,10.74,8.68,11.23,3.46,6.64,0.07,0.51,1.54,0.0,0.0,1
-8.42329,-46.34528,20240519,29.31,36.54,22.26,46.12,3.72,96.19,15.97,0.38,11.54,8.66,11.9,3.02,5.73,0.07,0.51,1.79,0.0,0.02,1
-8.42329,-46.34528,20240520,29.51,35.91,23.59,50.31,2.98,96.2,15.96,0.38,12.76,8.64,13.0,3.48,6.37,0.07,0.51,1.76,0.0,0.1,1
53.45033,48.04824,20240518,10.56,14.31,6.73,79.5,1.53,99.55,21.3,0.77,6.04,10.7,6.23,4.62,6.41,0.06,0.79,2.59,0.0,0.57,1
53.45033,48.04824,20240519,10.63,15.87,4.63,70.31,0.9,99.79,21.29,0.76,5.13,10.75,5.43,3.88,5.5,0.06,0.79,2.43,0.0,0.0,1
53.45033,48.04824,20240520,12.79,19.59,4.18,63.69,0.92,99.77,21.28,0.76,5.07,10.8,5.62,2.14,3.64,0.06,0.78,0.88,0.0,0.0,1
-8.99245,-49.82733,20240518,27.22,33.96,20.55,64.38,2.48,98.99,15.98,0.59,13.61,8.68,14.22,1.41,2.02,3.08,0.66,0.84,0.0,0.14,1
